rank,frontend_question_id,title,level,frequency,leetcode_url,slug,codetop_id,leetcode_id,last_seen_time
41,239,滑动窗口最大值,困难,152,https://leetcode.cn/problems/sliding-window-maximum,sliding-window-maximum,1445,1445,2026-05-18T16:00:00Z
42,704,二分查找,简单,150,https://leetcode.cn/problems/binary-search,binary-search,925,925,2026-05-10T07:39:28.305000Z
43,22,括号生成,中等,150,https://leetcode.cn/problems/generate-parentheses,generate-parentheses,1662,1662,2026-05-08T19:49:07.276000Z
44,32,最长有效括号,困难,148,https://leetcode.cn/problems/longest-valid-parentheses,longest-valid-parentheses,1652,1652,2026-06-04T14:11:37.229000Z
45,148,排序链表,中等,147,https://leetcode.cn/problems/sort-list,sort-list,1536,1536,2026-06-07T16:00:00Z
46,69,x 的平方根,简单,146,https://leetcode.cn/problems/sqrtx,sqrtx,1615,1615,2026-04-21T15:36:32.999000Z
47,94,二叉树的中序遍历,简单,144,https://leetcode.cn/problems/binary-tree-inorder-traversal,binary-tree-inorder-traversal,1590,1590,2026-05-20T16:00:00Z
48,232,用栈实现队列,简单,143,https://leetcode.cn/problems/implement-queue-using-stacks,implement-queue-using-stacks,1452,1452,2026-03-08T16:00:00Z
49,31,下一个排列,中等,136,https://leetcode.cn/problems/next-permutation,next-permutation,1653,1653,2026-04-27T10:23:03.921000Z
50,76,最小覆盖子串,困难,133,https://leetcode.cn/problems/minimum-window-substring,minimum-window-substring,1608,1608,2026-06-05T10:38:15.189000Z
51,2,两数相加,中等,133,https://leetcode.cn/problems/add-two-numbers,add-two-numbers,1682,1682,2026-04-16T07:17:15.104000Z
52,322,零钱兑换,中等,132,https://leetcode.cn/problems/coin-change,coin-change,1362,1362,2026-04-15T11:47:59.283000Z
53,43,字符串相乘,中等,131,https://leetcode.cn/problems/multiply-strings,multiply-strings,1641,1641,2026-05-22T11:30:17.205000Z
54,8,字符串转换整数 (atoi),中等,131,https://leetcode.cn/problems/string-to-integer-atoi,string-to-integer-atoi,1676,1676,2026-04-22T06:21:23.146000Z
55,70,爬楼梯,简单,129,https://leetcode.cn/problems/climbing-stairs,climbing-stairs,1614,1614,2026-05-24T16:00:00Z
56,105,从前序与中序遍历序列构造二叉树,中等,114,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal,construct-binary-tree-from-preorder-and-inorder-traversal,1579,1579,2026-04-29T16:00:00Z
57,41,缺失的第一个正数,困难,113,https://leetcode.cn/problems/first-missing-positive,first-missing-positive,1643,1643,2026-03-17T16:00:00Z
58,78,子集,中等,105,https://leetcode.cn/problems/subsets,subsets,1606,1606,2026-05-17T03:57:01.856000Z
59,151,翻转字符串里的单词,中等,105,https://leetcode.cn/problems/reverse-words-in-a-string,reverse-words-in-a-string,1533,1533,2026-04-15T12:58:03.385000Z
60,34,在排序数组中查找元素的第一个和最后一个位置,中等,102,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array,find-first-and-last-position-of-element-in-sorted-array,1650,1650,2026-04-18T16:00:00Z
61,剑指 Offer 22,链表中倒数第k个节点,简单,102,https://leetcode.cn/problems/lian-biao-zhong-dao-shu-di-kge-jie-dian-lcof,lian-biao-zhong-dao-shu-di-kge-jie-dian-lcof,122,122,2025-03-18T09:56:51.560000Z
62,394,字符串解码,中等,100,https://leetcode.cn/problems/decode-string,decode-string,1290,1290,2026-05-31T16:00:00Z
63,129,求根到叶子节点数字之和,中等,100,https://leetcode.cn/problems/sum-root-to-leaf-numbers,sum-root-to-leaf-numbers,1555,1555,2026-04-21T16:00:00Z
64,155,最小栈,简单,99,https://leetcode.cn/problems/min-stack,min-stack,1529,1529,2026-04-13T18:21:52.312000Z
65,39,组合总和,中等,96,https://leetcode.cn/problems/combination-sum,combination-sum,1645,1645,2026-05-26T16:00:00Z
66,101,对称二叉树,简单,96,https://leetcode.cn/problems/symmetric-tree,symmetric-tree,1583,1583,2026-03-29T16:00:00Z
67,64,最小路径和,中等,95,https://leetcode.cn/problems/minimum-path-sum,minimum-path-sum,1620,1620,2026-05-27T13:15:27.569000Z
68,470,用 Rand7() 实现 Rand10(),中等,95,https://leetcode.cn/problems/implement-rand10-using-rand7,implement-rand10-using-rand7,821,821,2026-05-25T16:00:00Z
69,695,岛屿的最大面积,中等,93,https://leetcode.cn/problems/max-area-of-island,max-area-of-island,1011,1011,2026-06-02T14:56:27.653000Z
70,128,最长连续序列,中等,92,https://leetcode.cn/problems/longest-consecutive-sequence,longest-consecutive-sequence,1556,1556,2026-05-29T12:40:26.848000Z
71,122,买卖股票的最佳时机 II,简单,91,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii,best-time-to-buy-and-sell-stock-ii,1562,1562,2026-06-04T08:39:02.595000Z
72,104,二叉树的最大深度,简单,91,https://leetcode.cn/problems/maximum-depth-of-binary-tree,maximum-depth-of-binary-tree,1580,1580,2026-05-07T16:00:00Z
73,221,最大正方形,中等,88,https://leetcode.cn/problems/maximal-square,maximal-square,1463,1463,2026-04-17T12:25:48.296000Z
74,110,平衡二叉树,简单,87,https://leetcode.cn/problems/balanced-binary-tree,balanced-binary-tree,1574,1574,2026-04-19T16:00:00Z
75,234,回文链表,简单,86,https://leetcode.cn/problems/palindrome-linked-list,palindrome-linked-list,1450,1450,2026-05-21T16:00:00Z
76,152,乘积最大子数组,中等,85,https://leetcode.cn/problems/maximum-product-subarray,maximum-product-subarray,1532,1532,2026-05-27T16:00:00Z
77,240,搜索二维矩阵 II,中等,84,https://leetcode.cn/problems/search-a-2d-matrix-ii,search-a-2d-matrix-ii,1444,1444,2026-04-23T16:00:00Z
78,98,验证二叉搜索树,中等,84,https://leetcode.cn/problems/validate-binary-search-tree,validate-binary-search-tree,1586,1586,2026-04-20T14:17:50.588000Z
79,144,二叉树的前序遍历,简单,84,https://leetcode.cn/problems/binary-tree-preorder-traversal,binary-tree-preorder-traversal,1540,1540,2025-04-17T16:00:00Z
80,179,最大数,中等,83,https://leetcode.cn/problems/largest-number,largest-number,1505,1505,2026-06-04T06:44:16.037000Z
81,662,二叉树最大宽度,中等,83,https://leetcode.cn/problems/maximum-width-of-binary-tree,maximum-width-of-binary-tree,1044,1044,2026-05-16T03:43:34.734000Z
82,14,最长公共前缀,简单,83,https://leetcode.cn/problems/longest-common-prefix,longest-common-prefix,1670,1670,2026-04-16T16:00:00Z
83,48,旋转图像,中等,83,https://leetcode.cn/problems/rotate-image,rotate-image,1636,1636,2026-04-01T09:28:13.407000Z
84,543,二叉树的直径,简单,81,https://leetcode.cn/problems/diameter-of-binary-tree,diameter-of-binary-tree,1156,1156,2026-03-19T07:21:11.021000Z
85,162,寻找峰值,中等,80,https://leetcode.cn/problems/find-peak-element,find-peak-element,1522,1522,2026-04-19T08:22:26.581000Z
86,62,不同路径,中等,78,https://leetcode.cn/problems/unique-paths,unique-paths,1622,1622,2026-06-01T14:32:33.655000Z
87,560,和为K的子数组,中等,78,https://leetcode.cn/problems/subarray-sum-equals-k,subarray-sum-equals-k,1142,1142,2026-04-09T15:56:35.273000Z
88,113,路径总和 II,中等,77,https://leetcode.cn/problems/path-sum-ii,path-sum-ii,1571,1571,2026-05-07T08:47:26.963000Z
89,209,长度最小的子数组,中等,73,https://leetcode.cn/problems/minimum-size-subarray-sum,minimum-size-subarray-sum,1475,1475,2026-05-26T16:00:00Z
90,198,打家劫舍,中等,73,https://leetcode.cn/problems/house-robber,house-robber,1486,1486,2026-03-26T09:48:04.465000Z
91,24,两两交换链表中的节点,中等,72,https://leetcode.cn/problems/swap-nodes-in-pairs,swap-nodes-in-pairs,1660,1660,2026-05-30T16:00:00Z
92,112,路径总和,简单,72,https://leetcode.cn/problems/path-sum,path-sum,1572,1572,2026-04-14T07:00:00Z
93,83,删除排序链表中的重复元素,简单,69,https://leetcode.cn/problems/remove-duplicates-from-sorted-list,remove-duplicates-from-sorted-list,1601,1601,2026-04-23T07:25:30.367000Z
94,139,单词拆分,中等,69,https://leetcode.cn/problems/word-break,word-break,1545,1545,2026-04-07T16:00:00Z
95,227,基本计算器 II,中等,69,https://leetcode.cn/problems/basic-calculator-ii,basic-calculator-ii,1457,1457,2026-03-30T12:10:45.661000Z
96,718,最长重复子数组,中等,68,https://leetcode.cn/problems/maximum-length-of-repeated-subarray,maximum-length-of-repeated-subarray,999,999,2026-05-26T16:00:00Z
97,226,翻转二叉树,简单,68,https://leetcode.cn/problems/invert-binary-tree,invert-binary-tree,1458,1458,2026-03-29T16:00:00Z
98,169,多数元素,简单,68,https://leetcode.cn/problems/majority-element,majority-element,1515,1515,2026-03-18T16:00:00Z
99,283,移动零,简单,67,https://leetcode.cn/problems/move-zeroes,move-zeroes,1401,1401,2026-03-23T07:29:58.019000Z
100,207,课程表,中等,66,https://leetcode.cn/problems/course-schedule,course-schedule,1477,1477,2026-05-20T03:29:04.587000Z
101,补充题6,手撕堆排序,中等,63,https://leetcode.cn/problems/sort-an-array,sort-an-array,1908,1908,2026-04-07T12:05:24.225000Z
102,739,每日温度,中等,62,https://leetcode.cn/problems/daily-temperatures,daily-temperatures,978,978,2026-05-19T16:00:00Z
103,79,单词搜索,中等,61,https://leetcode.cn/problems/word-search,word-search,1605,1605,2026-06-03T01:36:31.949000Z
104,468,验证IP地址,中等,61,https://leetcode.cn/problems/validate-ip-address,validate-ip-address,1222,1222,2026-04-02T16:00:00Z
105,297,二叉树的序列化与反序列化,困难,59,https://leetcode.cn/problems/serialize-and-deserialize-binary-tree,serialize-and-deserialize-binary-tree,1387,1387,2026-05-25T06:42:45.742000Z
106,153,寻找旋转排序数组中的最小值,中等,58,https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array,find-minimum-in-rotated-sorted-array,1531,1531,2026-04-16T12:43:48.446000Z
107,138,复制带随机指针的链表,中等,58,https://leetcode.cn/problems/copy-list-with-random-pointer,copy-list-with-random-pointer,1546,1546,2025-08-23T09:28:22.379000Z
108,47,全排列 II,中等,57,https://leetcode.cn/problems/permutations-ii,permutations-ii,1637,1637,2026-04-16T07:16:45.355000Z
109,224,基本计算器,困难,57,https://leetcode.cn/problems/basic-calculator,basic-calculator,1460,1460,2025-12-24T12:34:02.272000Z
110,11,盛最多水的容器,中等,56,https://leetcode.cn/problems/container-with-most-water,container-with-most-water,1673,1673,2026-05-10T16:00:00Z
111,55,跳跃游戏,中等,56,https://leetcode.cn/problems/jump-game,jump-game,1629,1629,2026-04-18T08:02:29.713000Z
112,460,LFU缓存,困难,56,https://leetcode.cn/problems/lfu-cache,lfu-cache,1230,1230,2026-03-31T16:00:00Z
113,40,组合总和 II,中等,55,https://leetcode.cn/problems/combination-sum-ii,combination-sum-ii,1644,1644,2026-01-04T16:00:00Z
114,16,最接近的三数之和,中等,54,https://leetcode.cn/problems/3sum-closest,3sum-closest,1668,1668,2026-05-06T08:03:55.017000Z
115,136,只出现一次的数字,简单,53,https://leetcode.cn/problems/single-number,single-number,1548,1548,2026-04-21T16:00:00Z
116,402,移掉K位数字,中等,53,https://leetcode.cn/problems/remove-k-digits,remove-k-digits,1282,1282,2025-09-24T06:16:50.694000Z
117,123,买卖股票的最佳时机 III,困难,52,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii,best-time-to-buy-and-sell-stock-iii,1561,1561,2026-06-03T12:55:02.402000Z
118,剑指 Offer 51,数组中的逆序对,困难,52,https://leetcode.cn/problems/shu-zu-zhong-de-ni-xu-dui-lcof,shu-zu-zhong-de-ni-xu-dui-lcof,98,98,2026-04-16T07:53:07.948000Z
119,61,旋转链表,中等,51,https://leetcode.cn/problems/rotate-list,rotate-list,1623,1623,2026-04-20T07:22:21.111000Z
120,补充题5,手撕归并排序,中等,50,https://leetcode.cn/problems/sort-an-array,sort-an-array,1907,1907,2025-09-03T16:00:00Z
121,75,颜色分类,中等,49,https://leetcode.cn/problems/sort-colors,sort-colors,1609,1609,2026-04-19T16:00:00Z
122,518,零钱兑换 II,中等,48,https://leetcode.cn/problems/coin-change-ii,coin-change-ii,1178,1178,2026-04-23T16:00:00Z
123,498,对角线遍历,中等,48,https://leetcode.cn/problems/diagonal-traverse,diagonal-traverse,1196,1196,2026-04-20T19:16:25.923000Z
124,剑指 Offer 26,树的子结构,中等,48,https://leetcode.cn/problems/shu-de-zi-jie-gou-lcof,shu-de-zi-jie-gou-lcof,129,129,2026-03-25T08:17:49.273000Z
125,329,矩阵中的最长递增路径,困难,47,https://leetcode.cn/problems/longest-increasing-path-in-a-matrix,longest-increasing-path-in-a-matrix,1355,1355,2026-05-24T05:18:24.591000Z
126,26,删除排序数组中的重复项,简单,47,https://leetcode.cn/problems/remove-duplicates-from-sorted-array,remove-duplicates-from-sorted-array,1658,1658,2026-03-18T16:00:00Z
127,剑指 Offer 36,二叉搜索树与双向链表,中等,47,https://leetcode.cn/problems/er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof,er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof,111,111,2026-02-06T09:50:02.135000Z
128,958,二叉树的完全性检验,中等,47,https://leetcode.cn/problems/check-completeness-of-a-binary-tree,check-completeness-of-a-binary-tree,730,730,2025-11-06T16:00:00Z
129,剑指 Offer 09,用两个栈实现队列,简单,47,https://leetcode.cn/problems/yong-liang-ge-zhan-shi-xian-dui-lie-lcof,yong-liang-ge-zhan-shi-xian-dui-lie-lcof,143,143,2024-12-19T16:00:00Z
130,补充题23,检测循环依赖,中等,46,https://leetcode.cn/problems/https://mp.weixin.qq.com/s/pCRscwKqQdYYN7M1Sia7xA,https://mp.weixin.qq.com/s/pCRscwKqQdYYN7M1Sia7xA,1924,1924,2026-05-31T07:58:58.888000Z
131,74,搜索二维矩阵,中等,46,https://leetcode.cn/problems/search-a-2d-matrix,search-a-2d-matrix,1610,1610,2026-05-22T07:29:33.481000Z
132,114,二叉树展开为链表,中等,46,https://leetcode.cn/problems/flatten-binary-tree-to-linked-list,flatten-binary-tree-to-linked-list,1570,1570,2026-03-31T16:00:00Z
133,补充题1,排序奇升偶降链表,中等,46,https://leetcode.cn/problems/https://mp.weixin.qq.com/s/0WVa2wIAeG0nYnVndZiEXQ,https://mp.weixin.qq.com/s/0WVa2wIAeG0nYnVndZiEXQ,1903,1903,2026-03-04T13:10:21.299000Z
134,7,整数反转,简单,45,https://leetcode.cn/problems/reverse-integer,reverse-integer,1677,1677,2026-03-29T16:00:00Z
135,135,分发糖果,困难,44,https://leetcode.cn/problems/candy,candy,1549,1549,2026-04-20T22:00:00Z
136,442,数组中重复的数据,中等,44,https://leetcode.cn/problems/find-all-duplicates-in-an-array,find-all-duplicates-in-an-array,1248,1248,2026-04-12T04:52:57.235000Z
137,125,验证回文串,简单,43,https://leetcode.cn/problems/valid-palindrome,valid-palindrome,1559,1559,2026-04-25T02:12:44.125000Z
138,347,前 K 个高频元素,中等,43,https://leetcode.cn/problems/top-k-frequent-elements,top-k-frequent-elements,1337,1337,2026-04-10T06:56:25.980000Z
139,50,"Pow(x, n)",中等,43,https://leetcode.cn/problems/powx-n,powx-n,1634,1634,2026-03-24T07:39:33.342000Z
140,572,另一个树的子树,简单,42,https://leetcode.cn/problems/subtree-of-another-tree,subtree-of-another-tree,1130,1130,2026-04-14T10:41:39.879000Z
141,145,二叉树的后序遍历,中等,42,https://leetcode.cn/problems/binary-tree-postorder-traversal,binary-tree-postorder-traversal,1539,1539,2026-03-30T16:00:00Z
142,91,解码方法,中等,42,https://leetcode.cn/problems/decode-ways,decode-ways,1593,1593,2025-09-18T05:00:20.886000Z
143,59,螺旋矩阵 II,中等,41,https://leetcode.cn/problems/spiral-matrix-ii,spiral-matrix-ii,1625,1625,2025-04-28T12:28:51.961000Z
144,10,正则表达式匹配,困难,40,https://leetcode.cn/problems/regular-expression-matching,regular-expression-matching,1674,1674,2026-04-28T16:00:00Z
145,208,实现 Trie (前缀树),中等,40,https://leetcode.cn/problems/implement-trie-prefix-tree,implement-trie-prefix-tree,1476,1476,2026-04-28T16:00:00Z
146,剑指 Offer 40,最小的k个数,简单,40,https://leetcode.cn/problems/zui-xiao-de-kge-shu-lcof,zui-xiao-de-kge-shu-lcof,115,115,2026-02-11T11:32:33.297000Z
147,440,字典序的第K小数字,困难,40,https://leetcode.cn/problems/k-th-smallest-in-lexicographical-order,k-th-smallest-in-lexicographical-order,1250,1250,2025-09-25T16:00:00Z
148,445,两数相加 II,中等,39,https://leetcode.cn/problems/add-two-numbers-ii,add-two-numbers-ii,1245,1245,2026-05-13T16:00:00Z
149,213,打家劫舍 II,中等,39,https://leetcode.cn/problems/house-robber-ii,house-robber-ii,1471,1471,2026-05-08T16:00:00Z
150,450,删除二叉搜索树中的节点,中等,39,https://leetcode.cn/problems/delete-node-in-a-bst,delete-node-in-a-bst,1240,1240,2026-04-22T16:00:00Z
151,剑指 Offer 54,二叉搜索树的第k大节点,简单,39,https://leetcode.cn/problems/er-cha-sou-suo-shu-de-di-kda-jie-dian-lcof,er-cha-sou-suo-shu-de-di-kda-jie-dian-lcof,83,83,2024-03-25T10:52:01.017000Z
152,剑指 Offer 42,连续子数组的最大和,简单,38,https://leetcode.cn/problems/lian-xu-zi-shu-zu-de-zui-da-he-lcof,lian-xu-zi-shu-zu-de-zui-da-he-lcof,112,112,2026-04-03T07:55:39.124000Z
153,45,跳跃游戏 II,中等,38,https://leetcode.cn/problems/jump-game-ii,jump-game-ii,1639,1639,2026-03-25T11:55:37.185000Z
154,剑指 Offer 10- I,斐波那契数列,简单,37,https://leetcode.cn/problems/fei-bo-na-qi-shu-lie-lcof,fei-bo-na-qi-shu-lie-lcof,142,142,2026-06-03T16:00:00Z
155,516,最长回文子序列,中等,37,https://leetcode.cn/problems/longest-palindromic-subsequence,longest-palindromic-subsequence,1180,1180,2026-04-26T02:02:21.392000Z
156,剑指 Offer 10- II,青蛙跳台阶问题,简单,37,https://leetcode.cn/problems/qing-wa-tiao-tai-jie-wen-ti-lcof,qing-wa-tiao-tai-jie-wen-ti-lcof,139,139,2026-04-12T16:00:00Z
157,295,数据流的中位数,困难,36,https://leetcode.cn/problems/find-median-from-data-stream,find-median-from-data-stream,1389,1389,2026-04-16T07:51:55.482000Z
158,287,寻找重复数,中等,36,https://leetcode.cn/problems/find-the-duplicate-number,find-the-duplicate-number,1397,1397,2026-04-15T16:00:00Z
159,225,用队列实现栈,简单,36,https://leetcode.cn/problems/implement-stack-using-queues,implement-stack-using-queues,1459,1459,2026-03-26T13:09:04.571000Z
160,328,奇偶链表,中等,35,https://leetcode.cn/problems/odd-even-linked-list,odd-even-linked-list,1356,1356,2026-04-17T08:47:11.028000Z
161,678,有效的括号字符串,中等,35,https://leetcode.cn/problems/valid-parenthesis-string,valid-parenthesis-string,1028,1028,2026-03-15T11:39:10.302000Z
162,补充题2,圆环回原点问题,中等,35,https://leetcode.cn/problems/https://mp.weixin.qq.com/s/NZPaFsFrTybO3K3s7p7EVg,https://mp.weixin.qq.com/s/NZPaFsFrTybO3K3s7p7EVg,1904,1904,2025-08-18T04:52:26.796000Z
163,剑指 Offer 04,二维数组中的查找,简单,35,https://leetcode.cn/problems/er-wei-shu-zu-zhong-de-cha-zhao-lcof,er-wei-shu-zu-zhong-de-cha-zhao-lcof,140,140,2023-11-20T16:00:00Z
164,189,轮转数组,中等,34,https://leetcode.cn/problems/rotate-array,rotate-array,1495,1495,2026-05-16T14:05:27.801000Z
165,120,三角形最小路径和,中等,34,https://leetcode.cn/problems/triangle,triangle,1564,1564,2026-04-20T16:00:00Z
166,106,从中序与后序遍历序列构造二叉树,中等,34,https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal,construct-binary-tree-from-inorder-and-postorder-traversal,1578,1578,2026-03-26T16:00:00Z
167,210,课程表 II,中等,33,https://leetcode.cn/problems/course-schedule-ii,course-schedule-ii,1474,1474,2026-06-01T08:26:04.066000Z
168,9,回文数,简单,33,https://leetcode.cn/problems/palindrome-number,palindrome-number,1675,1675,2026-05-10T09:02:21.009000Z
169,230,二叉搜索树中第K小的元素,中等,33,https://leetcode.cn/problems/kth-smallest-element-in-a-bst,kth-smallest-element-in-a-bst,1454,1454,2024-04-10T12:15:45.058000Z
170,96,不同的二叉搜索树,中等,32,https://leetcode.cn/problems/unique-binary-search-trees,unique-binary-search-trees,1588,1588,2026-04-19T16:00:00Z
171,384,打乱数组,中等,32,https://leetcode.cn/problems/shuffle-an-array,shuffle-an-array,1300,1300,2026-03-10T09:47:02.598000Z
172,剑指 Offer 62,圆圈中最后剩下的数字,简单,32,https://leetcode.cn/problems/yuan-quan-zhong-zui-hou-sheng-xia-de-shu-zi-lcof,yuan-quan-zhong-zui-hou-sheng-xia-de-shu-zi-lcof,73,73,2026-01-18T16:00:00Z
173,44,通配符匹配,困难,31,https://leetcode.cn/problems/wildcard-matching,wildcard-matching,1640,1640,2026-05-18T13:15:16.138000Z
174,416,分割等和子集,中等,30,https://leetcode.cn/problems/partition-equal-subset-sum,partition-equal-subset-sum,1268,1268,2026-04-27T07:22:11.508000Z
175,887,鸡蛋掉落,困难,30,https://leetcode.cn/problems/super-egg-drop,super-egg-drop,801,801,2026-03-30T11:23:15.131000Z
176,85,最大矩形,困难,30,https://leetcode.cn/problems/maximal-rectangle,maximal-rectangle,1599,1599,2026-03-25T09:00:12.446000Z
177,97,交错字符串,中等,30,https://leetcode.cn/problems/interleaving-string,interleaving-string,1587,1587,2026-03-01T16:00:00Z
178,剑指 Offer 21,调整数组顺序使奇数位于偶数前面,简单,30,https://leetcode.cn/problems/diao-zheng-shu-zu-shun-xu-shi-qi-shu-wei-yu-ou-shu-qian-mian-lcof,diao-zheng-shu-zu-shun-xu-shi-qi-shu-wei-yu-ou-shu-qian-mian-lcof,125,125,2022-09-26T16:00:00Z
